"PathwayName	PathwayDesc	Genes",
"COG(J) Translation and ribosomal structure and biogenesis	Translation and ribosomal structure and biogenesis	944846	945310	946906	945854	947783	945769	947175	946223	945555	946452	947058	947882	944939	944889	948967	945458	947707	948558	947845	947846	947838	948482	947816	947874	944761	945382	945382	946643	946251	948484	948483	947817	947818	947819	947820	947813	947814	947809	947800	947802	947803	947795	947791	947792	946793	947828	949000	945564	946989	947687	946643	946348	947789	948855	945506	946385	947894	947686	947811	947808	945484	947445	945765	947806	947810	947801	947798	947784	945190	946969	949002	946379	946493	948119	947448	948489	947683	947779	946941	947103	948216	946674	948661	946122	948721	947780	948490	946278	947454	944960	948425	947807	947804	947805	1450238	949057	944866	946318	944759	944806	946225	946349	945152	947689	945067	947664	946430	948690	945657	947096	947099	949130	946328	948250	948720	948723	945500	946909	946539	947974	946222	949116	948248	944912	946917	946460	948514	948894	947847	947051	945690	948222	947497	947793	948785	947684	947578	945536	946262	945637	947087	947242	948610	948924	947066	948161	948694	947214	947027	948215	947034	947318	947553	945260	945465	948419	948156	947977	948080	948079	947680	947270	945237	948684	947101	944905	947439	946249	945993	946609	949115	949117	947577	947685	945601	945564	946691	947036	946983	948674	947291	947672	946046	947369	945701	945840	945378	948519	947912	947372	948645	946304	946760	945816	945650	946478	946053	948378	944848	945641	947744	947688	947129	947718	945239	948686	944845	948444	946910	945998	946117	947056	947943	947929	949112	947984	945618	947797	948858	948124	945509	944810	946987	947844	948688	947708	947260	947243	947143	948672	945158	947063	947083	946303	947589	948892	945537	945391	945614	945779	946805	947270	945023	947853	947283	948012	948751	1450289	944911	948773	948363	946807	944938	945567	947057	946348	948103	949065	948897	946800	947047	946751	947157	947614	947591",Translation and ribosomal structure and biogenesis
"COG(A) RNA processing and modification	RNA processing and modification	2847707	948675",RNA processing and modification
"COG(K) Transcription	Transcription	948488	948487	947682	947794	946379	946493	948327	948485	947043	947244	948159	948523	948692	947210	947567	947970	947033	944757	949034	947507	945417	945278	945001	945139	945216	945219	944869	945523	945771	945930	945831	948865	946079	946136	945208	946316	946502	946501	946532	946657	946769	948828	946862	946873	947000	947064	947278	947311	944867	947401	947562	947621	947494	947760	948035	948107	948227	948284	948310	948462	948852	947411	2847698	947136	948013	945104	945046	945003	945302	946182	945697	946199	946486	946605	945369	947913	948404	948631	948922	948874	944871	945054	947789	947546	947696	2847706	945332	945735	949029	947786	948566	947439	947995	945529	948297	946004	947884	949089	948824	945681	945683	947024	945669	945590	945591	946099	946091	946090	946339	948070	944981	945516	945421	945075	947425	946150	946166	947704	948158	948460	948650	948775	945437	947437	945453	945869	946272	948942	947204	946905	947636	948381	948706	946830	945886	946000	946241	948911	945016	945938	945333	946129	944752	948084	948524	949100	947861	946065	947714	945091	949051	946640	948259	947050	946839	944804	945007	945875	947104	945226	949043	947305	947314	947586	948086	948266	948427	948760	949058	947946	948469	947442	947584	948881	948730	944850	945434	946373	946568	947030	948603	948160	946014	946087	948055	948881	945887	948703	945825	946167	945282	944986	947114	949086	945285	945664	945510	947023	947757	948596	947536	945279	948693	945719	945746	948544	945499	947639	945366	947911	944827	948652	947466	947602	945468	948122	948849	2847767	948263	945371	946639	947885	948194	948368	948617	947079	949119	945795	946424	946421	949081	947441	946841	948036	948178	948896	948889	944780	945616	945163	948797	949114	945941	945922	947613	945095	946247	946590	946856	946911	947491	948029	948028	948086	948186	948396	948451	948567	948627	948637	948916	948302	948560	947309	946070	948827	947830	946684	944966	947459	946467	945263	948021	947697	947921	945829	947130	945814	948071	947851	948917	948435	946504	948496	945473	949024	947395	945879	945743	946758	1450232	945966	947960	948886	947186	947181	945094	948916	947327	946265	948653	947009	948235	948389	946861	948116	944987	947320	946887	946650	944860	945600	945923	944788	949093	947008	948640	944891	948938	947928	945864	948397",Transcription
"COG(L) Replication and recombination and repair	Replication and recombination and repair	947371	944852	947122	948559	947501	948211	946614	947499	948347	948292	947206	947256	948356	945320	946765	946479	946885	948164	948555	948996	947203	948691	946955	947893	945853	946710	945100	947570	944922	946359	947005	944779	949076	945049	948978	947170	945661	947211	948676	947105	947287	945425	947153	947055	947674	948290	948318	947694	945862	946141	945862	947782	948523	945385	946976	946821	946923	946160	944877	948218	946977	948217	947367	948570	946369	946669	947067	946254	948356	2847708	949095	945533	945472	948499	947662	947439	946378	946441	946159	946361	947695	945478	945529	948912	946227	947286	947447	948209	945681	948426	945431	946305	948162	946156	947111	948966	947294	947038	947573	945926	948864	948502	945884	946988	945069	945845	945166	945721	948973	946088	944930	946514	947125	948968	946435	946710	946371	945505	946465	949092	945105	947137	947671	945953	944847	945871	946529	948787	948722	948585	944749	945630	948890	945272	947299	946690	945570	946364	946708	945524	946546	945805	945498	947560	945917	946476	945071	945174	947351	948355	947162	947362	948832	948836	944781	946737	946787	947917",Replication and recombination and repair
"COG(B) Chromatin structure and dynamics	Chromatin structure and dynamics",Chromatin structure and dynamics
"COG(D) Cell cycle control and cell division and chromosome partitioning	Cell cycle control and cell division and chromosome partitioning	944786	948358	945798	947409	946567	946627	947694	944799	945240	946322	945238	944778	945744	945740	948588	946992	945206	947417	947821	944823	945102	947227	947655	947736	944982	947969	946365	945127	947968	945741	946228	946033	945548	947404	946376	948727	948420	945241	948428	945550	945549	946869	944803	944971	947930	948856	944873	945132	948129	947335",Cell cycle control and cell division and chromosome partitioning
"COG(Y) Nuclear structure	Nuclear structure",Nuclear structure
"COG(V) Defense mechanisms	Defense mechanisms	945599	946357	947624	948771	948769	948872	945915	945225	946383	947072	947300	947519	947906	946506	948554	945883	945164	944991	949045	945066	946481	947666	948867	947331	948729	948607	945101	945108	946606	946608	945464	947768	948030	944836	945403	945411	947991	947998	945112	945189	947322	946604	947706	948031	944833	945413	945413	947998	947998	945092	945088	945530	946884	947229	945852	949122	947228	945414	946499	946840	947166	947748	948003	948106	948110	948598	946001	946904	946907	948669	948898	946043	946086	948919	947639	947549	948442	947333	946139	948671	944920	946542	948406	947245	948739	947252	948747	945078	946782	944911	944974	944914	948308	948800	946040	947903	945727	945563	945426	947540	946678	948878	1450274	945335	946191	946203	945266	948880	948868	947591	947593	947224	947222	947223",Defense mechanisms
"COG(T) Signal transduction mechanisms	Signal transduction mechanisms	946970	948291	947043	947244	948159	945087	947016	945236	946564	947587	945841	947788	947788	945229	945904	945904	945948	946404	948007	948415	944770	945595	946326	948870	946717	948993	946844	947013	947255	947174	947272	948405	948506	948632	948609	947887	946401	948145	948322	945908	946670	947867	947681	945046	945003	945302	946182	945697	946199	946486	946605	945369	947913	948404	948631	948922	948874	945595	945855	946393	948993	946844	947255	947887	946938	944872	948981	948988	948833	945309	949030	946844	946844	946400	945995	946397	946399	945301	948884	945988	945059	948707	948369	945683	946396	947515	944855	947176	947727	945063	948044	948010	945355	946633	946852	945125	947721	948389	948391	948715	948831	948437	946207	945887	948703	947168	948689	945749	946677	946852	946886	947914	948437	946086	945719	945746	948544	945499	946815	947872	947079	949119	945795	946424	946421	949081	947441	946841	948036	948178	948896	948889	945595	946717	946844	947255	947887	945037	945463	945593	945909	945815	945835	947422	946075	946366	946290	948969	946471	946600	946864	946968	947091	947702	948048	947459	945462	947592	945738	945815	946217	946336	946600	946695	946864	946968	947702	948042	948048	946394	945868	945909	945815	946600	945301	947887	948969	947444	947042	948361	948505	946744	946487	948346	945985	946297	944863	947734	945784	945693	945220	946981	947054	948920	947755	947053	946685	947052	945872	948950	946392	947473	946489	949027	946723	949024	947395	945233	948639	945749	946600	946064	944883	948886	947186	947181	947301	949104	944987	947320	944860	945788	946948	947255	948195	949011	948360	946672	947008	948640	944797	947028	947928	948951	948568	947255	945868	945044	945978	946611	947958",Signal transduction mechanisms
"COG(M) Cell wall/membrane/envelope biogenesis	Cell wall/membrane/envelope biogenesis	944925	946952	947742	948825	944789	945410	947375	948296	948834	946555	946565	946588	946579	948144	948149	948241	945495	946538	946563	947683	948134	946543	946570	945275	949098	948140	944814	948789	945235	944783	946661	946798	947490	947643	944800	946243	945935	945898	947416	948977	947303	948214	946321	946536	945604	945334	945487	948733	946376	947011	947352	945694	945655	945428	948908	944843	947728	1450303	944838	947703	947732	944799	945240	944791	944813	944818	946153	948752	944816	945754	948564	944899	945210	946220	946686	947587	947734	948795	945324	948467	945241	945843	948470	946201	946580	945112	945189	947322	946604	947706	948031	948135	948136	948147	948155	946916	947293	948683	946571	944849	944882	944932	946583	945354	945276	948300	946562	947117	947729	945164	945670	947725	946324	945313	948246	945154	948299	945730	946560	945539	945055	944765	945079	947326	949125	948888	945441	945666	946174	945273	945694	945546	946215	948142	948143	945011	945619	947712	949048	946982	946288	947521	948583	945660	945586	946558	945756	945526	945222	945455	946518	946662	946681	947717	947348	947297	947482	948301	947920	947787	947693	946893	947736	944982	946583	945532	945360	947711	948068	948458	948629	947645	947875	946557	946581	948294	947716	946569	946810	944964	947659	948895	944861	948307	948989	945582	947710	945969	947548	945785	945004	945571	947094	948075	947756	949053	945583	945624	949003	947598	947184	944858	946257	946582	948043	945541	944999	946353	945653	946352	946352	946972	946782	945775	948877	945494	944910	948670	945128	949106	946625	947684	946312	948022	946685	947663	947954	947722	945005	945994	945709	946801	946218	944926	945554	946313	946716	945737	947409	946567	946242	948402	945132	948676	948077	948148	946954	948536	945767	944851	946595	946540	944967	945571	946301	948097	945543	945180	946553	944815	946812	947539	946100	946811	947086	946175	946832	945185	945673	945665	947028	944870	947029	947673	946013	946126	945881	947258	947261	2847765	947152	947907",Cell wall/membrane/envelope biogenesis
