ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
aceE,aceE,aceE,noSyn,ECK0113,123017,125680,+,pyruvate dehydrogenase E1 component,b0114,P0AFG8,pyruvate dehydrogenase E1 component,aceE,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
araA,araA,araA,noSyn,ECK0063,66835,68337,-,L-arabinose isomerase,b0062,P08202,L-arabinose isomerase,araA,nan,nan,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
araB,araB,araB,noSyn,ECK0064,68348,70048,-,ribulokinase,b0063,P08204,ribulokinase,araB,nan,nan,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
arcA,arcA,arcA,sfrA // cpxC // dye // fexA // msp // seg,ECK4393,4639590,4640306,-,Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator ArcA,b4401,P0A9Q1,Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator ArcA,arcA,0.442367308,0.977749952,0.121025576,0.399901325,Transcription,nan,nan,nan,nan,
argA,argA,argA,Arg2 // Arg1,ECK2814,2949242,2950573,+,N-acetylglutamate synthase,b2818,P0A6C5,N-acetylglutamate synthase,argA,0.488153632,1.078949963,0.312083333,1.03120797,Amino acid transport and metabolism,Amino acid transport and metabolism,nan,nan,nan,
argD,argD,argD,Arg1 // dapC // dtu,ECK3347,3488960,3490180,-,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,b3359,P18335,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,argD,nan,nan,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
aroE,aroE,aroE,noSyn,ECK3268,3430020,3430838,-,shikimate dehydrogenase,b3281,P15770,shikimate dehydrogenase,aroE,nan,nan,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
ascB,ascB,ascB,sac,ECK2711,2840990,2842414,+,6-phospho-&beta;-glucosidase AscB,b2716,P24240,6-phospho-&beta;-glucosidase AscB,ascB,0.419400802,0.926987837,0.351082824,1.160072867,Carbohydrate transport and metabolism,nan,nan,nan,nan,
ascF,ascF,ascF,sac,ECK2710,2839524,2840981,+,&beta;-glucoside specific PTS enzyme IIBC component,b2715,P24241,&beta;-glucoside specific PTS enzyme IIBC component,ascF,0.447050846,0.988101824,0.305885348,1.010728148,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,nan,nan,nan,
bcsB,bcsB,bcsB,yhjN,ECK3517,3690268,3692607,-,cellulose synthase periplasmic subunit,b3532,P37652,cellulose synthase periplasmic subunit,bcsB,0.514240433,1.136608764,0.320069616,1.057596817,nan,nan,nan,nan,nan,
caiE,caiE,caiE,noSyn,ECK0036,34781,35371,-,putative transferase CaiE,b0035,P39206,putative transferase CaiE,caiE,nan,nan,nan,0,General function prediction only,nan,nan,nan,nan,
caiF,caiF,caiF,noSyn,ECK0035,34300,34695,+,DNA-binding transcriptional activator CaiF,b0034,P0AE58,DNA-binding transcriptional activator CaiF,caiF,0.487097293,1.076615171,0.306667996,1.013314231,nan,nan,nan,nan,nan,
carB,carB,carB,cap // pyrA,ECK0034,30817,34038,+,carbamoyl phosphate synthetase subunit &beta;,b0033,P00968,carbamoyl phosphate synthetase subunit &beta;,carB,0.477270545,1.054895432,-0.021772786,-0.071943189,Amino acid transport and metabolism,Amino acid transport and metabolism,nan,nan,nan,
cmk,cmk,cmk,ycaF // mssA // ycaG,ECK0901,961201,961884,+,cytidylate kinase,b0910,P0A6I0,cytidylate kinase,cmk,0.254252178,0.561965251,nan,0,Nucleotide transport and metabolism,nan,nan,nan,nan,
coaE,coaE,coaE,yacE,ECK0103,112599,113219,-,dephospho-CoA kinase,b0103,P0A6I9,dephospho-CoA kinase,coaE,nan,nan,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
crp,crp,crp,cap // csm // gurB,ECK3345,3486120,3486752,+,DNA-binding transcriptional dual regulator CRP,b3357,P0ACJ8,DNA-binding transcriptional dual regulator CRP,crp,nan,nan,nan,0,Signal transduction mechanisms,nan,nan,nan,nan,
cspA,cspA,cspA,noSyn,ECK3543,3720049,3720261,+,cold shock protein CspA,b3556,P0A9X9,cold shock protein CspA,cspA,0.504865839,1.115888406,0.338096237,1.117161661,Transcription,nan,nan,nan,nan,
cysB,cysB,cysB,noSyn,ECK1269,1333855,1334829,+,DNA-binding transcriptional dual regulator CysB,b1275,P0A9F3,DNA-binding transcriptional dual regulator CysB,cysB,0.403247627,0.891285005,nan,0,Transcription,nan,nan,nan,nan,
cysE,cysE,cysE,noSyn,ECK3597,3781741,3782562,-,serine acetyltransferase,b3607,P0A9D4,serine acetyltransferase,cysE,0.378673253,0.836969071,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
dapF,dapF,dapF,noSyn,ECK3804,3994762,3995586,+,diaminopimelate epimerase,b3809,P0A6K1,diaminopimelate epimerase,dapF,nan,nan,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
